,Player,Mat,Inn,NO,Runs,Avg,100,50,Point,catagory
93,TM Dilshan (SL),87,145.0,11.0,5492.0,40.98,16.0,23.0,13.216369806952576,1
94,MP Vaughan (ENG),82,147.0,9.0,5719.0,41.44,18.0,18.0,13.13799879371896,1
95,CL Hooper (WI),102,173.0,15.0,5762.0,36.46,13.0,27.0,13.071958907340216,1
96,CL Walcott (WI),44,74.0,7.0,3798.0,56.68,15.0,14.0,12.974820248931866,1
97,RB Simpson (AUS),62,111.0,7.0,4869.0,46.81,10.0,27.0,12.956306884403379,1
98,JH Edrich (ENG),77,127.0,9.0,5138.0,43.54,12.0,24.0,12.783630422366098,1
99,ER Dexter (ENG),62,102.0,8.0,4502.0,47.89,9.0,27.0,12.733683482503407,1
100,DR Martyn (AUS),67,109.0,14.0,4406.0,46.37,13.0,23.0,12.689053561955584,1
101,MJ Slater (AUS),74,131.0,7.0,5312.0,42.83,14.0,21.0,12.671319418313995,2
102,PBH May (ENG),66,106.0,9.0,4537.0,46.77,13.0,22.0,12.614493760359014,2
103,Zaheer Abbas (PAK),78,124.0,11.0,5062.0,44.79,12.0,20.0,12.6115251220009,2
104,DM Lewis (WI),3,5.0,2.0,259.0,86.33,0.0,3.0,12.59931206821203,2
105,IR Redpath (AUS),66,120.0,11.0,4737.0,43.45,8.0,31.0,12.565876156025574,2
106,MV Boucher (ICC/SA),147,206.0,24.0,5515.0,30.3,5.0,35.0,12.52107210975892,2
107,MS Atapattu (SL),90,156.0,15.0,5502.0,39.02,16.0,17.0,12.47498663776526,2
108,TW Graveney (ENG),79,123.0,13.0,4882.0,44.38,11.0,20.0,12.330536064559697,2
109,DJ Cullinan (SA),70,115.0,12.0,4554.0,44.21,14.0,20.0,12.229527916812774,2
110,HP Tillakaratne (SL),83,131.0,25.0,4545.0,42.87,11.0,20.0,12.172924583980276,2
111,MS Dhoni (INDIA),90,144.0,16.0,4876.0,38.09,6.0,33.0,12.146518434021353,2
112,A Ranatunga (SL),93,155.0,12.0,5105.0,35.69,4.0,38.0,12.143765329971668,2
113,RA Smith (ENG),62,112.0,15.0,4236.0,43.67,9.0,28.0,12.051570933061203,2
114,JG Wright (NZ),82,148.0,7.0,5334.0,37.82,12.0,23.0,11.906599173517508,2
115,AI Kallicharran (WI),66,109.0,10.0,4399.0,44.43,12.0,21.0,11.88620477662586,2
116,FMM Worrell (WI),51,87.0,9.0,3860.0,49.48,9.0,22.0,11.883360435970435,2
117,M Amarnath (INDIA),69,113.0,10.0,4378.0,42.5,11.0,24.0,11.731867801802839,2
118,SM Katich (AUS),56,99.0,6.0,4188.0,45.03,10.0,25.0,11.731035444254575,2
119,Saeed Anwar (PAK),55,91.0,2.0,4052.0,45.52,11.0,25.0,11.676514307398513,2
120,Abul Hasan (BDESH),3,5.0,3.0,165.0,82.5,1.0,0.0,11.595415434770247,2
121,Asad Shafiq (PAK),73,122.0,6.0,4528.0,39.03,12.0,26.0,11.502487655572544,2
122,AM Rahane (INDIA),63,105.0,11.0,4112.0,43.74,11.0,22.0,11.480818739465594,2
123,N Kapil Dev (INDIA),131,184.0,15.0,5248.0,31.05,8.0,27.0,11.469338394261191,2
124,MJ Prior (ENG),79,123.0,21.0,4099.0,40.18,7.0,28.0,11.432693460163337,2
125,IT Botham (ENG),102,161.0,6.0,5200.0,33.54,14.0,22.0,11.418968694186447,2
126,RE Redmond (NZ),1,2.0,0.0,163.0,81.5,1.0,1.0,11.372180881166916,2
127,RC Fredericks (WI),59,109.0,7.0,4334.0,42.49,8.0,26.0,11.338490351782305,2
128,NJ Astle (NZ),81,137.0,10.0,4702.0,37.02,11.0,24.0,11.229507393414462,2
129,B Mitchell (SA),42,80.0,9.0,3471.0,48.88,8.0,21.0,11.119095292731338,2
130,RG Pollock (SA),23,41.0,4.0,2256.0,60.97,7.0,11.0,10.959863982569617,2
131,EH Hendren (ENG),51,83.0,9.0,3525.0,47.63,7.0,21.0,10.906614113403146,2
132,AD Nourse (SA),34,62.0,7.0,2960.0,53.81,9.0,14.0,10.89579475139236,2
133,AJ Lamb (ENG),79,139.0,10.0,4656.0,36.09,14.0,18.0,10.77828059245908,2
134,PD Collingwood (ENG),68,115.0,10.0,4259.0,40.56,10.0,20.0,10.762748097698694,2
135,Tamim Iqbal (BDESH),58,112.0,1.0,4327.0,38.98,9.0,27.0,10.740036771684252,2
136,G Gambhir (INDIA),58,104.0,5.0,4154.0,41.95,9.0,22.0,10.727945738099002,2
137,DM Jones (AUS),52,89.0,11.0,3631.0,46.55,11.0,14.0,10.659244239133049,2
138,GA Headley (WI),22,40.0,4.0,2190.0,60.83,10.0,5.0,10.631160934222384,2
139,Hanif Mohammad (PAK),55,97.0,8.0,3915.0,43.98,12.0,15.0,10.599780462789697,2
140,F du Plessis (SA),62,106.0,14.0,3799.0,41.29,9.0,21.0,10.504069279830093,2
141,IJL Trott (ENG),52,93.0,6.0,3835.0,44.08,9.0,19.0,10.490868897772632,2
142,APE Knott (ENG),95,149.0,15.0,4389.0,32.75,5.0,30.0,10.41841977932524,2
143,MW Gatting (ENG),79,138.0,14.0,4409.0,35.55,10.0,21.0,10.397621667211762,2
144,KJ Hughes (AUS),70,124.0,6.0,4415.0,37.41,9.0,22.0,10.34822838791305,2
145,FDM Karunaratne (SL),64,124.0,4.0,4421.0,36.84,9.0,24.0,10.332375082022711,2
146,DL Amiss (ENG),50,88.0,10.0,3612.0,46.3,11.0,11.0,10.250539309852012,2
147,LD Chandimal (SL),55,100.0,7.0,3846.0,41.35,11.0,18.0,10.209376931992592,2
148,AR Morris (AUS),46,79.0,3.0,3533.0,46.48,12.0,12.0,10.166920615493687,2
149,BA Richards (SA),4,7.0,0.0,508.0,72.57,2.0,2.0,10.066795773864834,2
150,DL Vettori (ICC/NZ),113,174.0,23.0,4531.0,30.0,6.0,23.0,10.01789660399979,2
151,PR Umrigar (INDIA),59,94.0,8.0,3631.0,42.22,12.0,14.0,9.961253638281265,2
152,Mudassar Nazar (PAK),76,116.0,8.0,4114.0,38.09,10.0,17.0,9.922624898289659,2
153,Imran Khan (PAK),88,126.0,25.0,3807.0,37.69,6.0,18.0,9.841361667285422,2
154,TWM Latham (NZ),49,86.0,3.0,3554.0,42.81,11.0,16.0,9.817013237700435,2
155,AG Prince (SA),66,104.0,16.0,3665.0,41.64,11.0,11.0,9.799562551815544,2
156,MA Butcher (ENG),71,131.0,7.0,4288.0,34.58,8.0,23.0,9.78129454524649,2
157,Shakib Al Hasan (BDESH),56,105.0,7.0,3862.0,39.4,5.0,24.0,9.77389733634953,2
158,BJ Watling (NZ),67,106.0,15.0,3616.0,39.73,8.0,18.0,9.724419272809774,2
159,AC Voges (AUS),20,31.0,7.0,1485.0,61.87,5.0,4.0,9.634382491231735,2
160,Mushtaq Mohammad (PAK),57,100.0,7.0,3643.0,39.17,10.0,19.0,9.631906382636434,2
161,Majid Khan (PAK),63,106.0,5.0,3931.0,38.92,8.0,19.0,9.626107353116026,2
