,Player,Mat,Inn,NO,Runs,Avg,100,50,Point,catagory
1424,HI Young (ENG),2,2.0,0.0,43.0,21.5,0.0,0.0,-1.2301048052019936,5
1425,DK Gaekwad (INDIA),11,20.0,1.0,350.0,18.42,0.0,1.0,-1.237167006115755,5
1426,TJD Kelly (AUS),2,3.0,0.0,64.0,21.33,0.0,0.0,-1.2392418882698548,5
1427,Naved Ashraf (PAK),2,3.0,0.0,64.0,21.33,0.0,0.0,-1.2392418882698548,5
1428,MR Harvey (AUS),1,2.0,0.0,43.0,21.5,0.0,0.0,-1.240105502219764,5
1429,HI Ebeling (AUS),1,2.0,0.0,43.0,21.5,0.0,0.0,-1.240105502219764,5
1430,JH Anderson (SA),1,2.0,0.0,43.0,21.5,0.0,0.0,-1.240105502219764,5
1431,J Botha (SA),5,6.0,2.0,83.0,20.75,0.0,0.0,-1.2408451941058791,5
1432,RM Prideaux (ENG),3,6.0,1.0,102.0,20.4,0.0,1.0,-1.241841100975983,5
1433,HD Ackerman (SA),4,8.0,0.0,161.0,20.12,0.0,1.0,-1.2460956386480047,5
1434,Sanwar Hossain (BDESH),9,18.0,0.0,345.0,19.16,0.0,0.0,-1.2501047160437515,5
1435,Marshall Ayub (BDESH),3,6.0,0.0,125.0,20.83,0.0,0.0,-1.255883697414446,5
1436,WFE Marx (SA),3,6.0,0.0,125.0,20.83,0.0,0.0,-1.255883697414446,5
1437,Fazal Mahmood (PAK),34,50.0,6.0,620.0,14.09,0.0,1.0,-1.2582824880082337,5
1438,Q McMillan (SA),13,21.0,4.0,306.0,18.0,0.0,1.0,-1.261724893143228,5
1439,KA Maharaj (SA),28,44.0,6.0,566.0,14.89,0.0,1.0,-1.2623923162457298,5
1440,R Lamba (INDIA),4,5.0,0.0,102.0,20.4,0.0,1.0,-1.2633417829457316,5
1441,FA Lowson (ENG),7,13.0,0.0,245.0,18.84,0.0,2.0,-1.2656718027240066,5
1442,DRE Joseph (WI),4,7.0,0.0,141.0,20.14,0.0,1.0,-1.2671161965090199,5
1443,N Wagner (NZ),46,60.0,16.0,554.0,12.59,0.0,0.0,-1.271539462530116,5
1444,W Storer (ENG),6,11.0,0.0,215.0,19.54,0.0,1.0,-1.2736594327646944,5
1445,MJ Leach (ENG),10,18.0,6.0,220.0,18.33,0.0,1.0,-1.2776083490738848,5
1446,JL Kerr (NZ),7,12.0,1.0,212.0,19.27,0.0,1.0,-1.2895241165517506,5
1447,GR Robertson (AUS),4,7.0,0.0,140.0,20.0,0.0,1.0,-1.2965050943966756,5
1448,R Mutumbami (ZIM),6,12.0,1.0,217.0,19.72,0.0,0.0,-1.3018020029979933,5
1449,TS Roland-Jones (ENG),4,6.0,2.0,82.0,20.5,0.0,0.0,-1.3028214071830932,5
1450,RE Marshall (WI),4,7.0,0.0,143.0,20.42,0.0,0.0,-1.306226856482758,5
1451,EL a'Beckett (AUS),4,7.0,0.0,143.0,20.42,0.0,0.0,-1.306226856482758,5
1452,AP Lucas (ENG),5,9.0,1.0,157.0,19.62,0.0,1.0,-1.3098291806450884,5
1453,WG Quaife (ENG),7,13.0,1.0,228.0,19.0,0.0,1.0,-1.3224059535754094,5
1454,CT Studd (ENG),5,9.0,1.0,160.0,20.0,0.0,0.0,-1.3277642584300031,5
1455,W Barber (ENG),2,4.0,0.0,83.0,20.75,0.0,0.0,-1.3338500431342302,5
1456,GA Manou (AUS),1,2.0,1.0,21.0,21.0,0.0,0.0,-1.337682371061563,5
1457,GK Glover (SA),1,2.0,1.0,21.0,21.0,0.0,0.0,-1.337682371061563,5
1458,LE Nagel (AUS),1,2.0,1.0,21.0,21.0,0.0,0.0,-1.337682371061563,5
1459,DD Beard (NZ),4,7.0,2.0,101.0,20.2,0.0,0.0,-1.339936352155645,5
1460,A Wood (ENG),4,5.0,1.0,80.0,20.0,0.0,1.0,-1.34038536254045,5
1461,RDB Croft (ENG),21,34.0,8.0,421.0,16.19,0.0,0.0,-1.3408588919916313,5
1462,H Moses (AUS),6,10.0,0.0,198.0,19.8,0.0,0.0,-1.341361673356536,5
1463,CGD Burger (SA),2,4.0,1.0,62.0,20.66,0.0,0.0,-1.3465981331212575,5
1464,MN Hart (NZ),14,24.0,4.0,353.0,17.65,0.0,0.0,-1.3544473253506593,5
1465,EW Dawson (ENG),5,9.0,0.0,175.0,19.44,0.0,1.0,-1.3544478504504072,5
1466,GRA Langley (AUS),26,37.0,12.0,374.0,14.96,0.0,1.0,-1.361990018080242,5
1467,GL Wight (WI),1,1.0,0.0,21.0,21.0,0.0,0.0,-1.3691837500490822,5
1468,Mohammad Nazir (PAK),14,18.0,10.0,144.0,18.0,0.0,0.0,-1.3751880463918877,5
1469,CO Browne (WI),20,30.0,6.0,387.0,16.12,0.0,1.0,-1.3767478674787488,5
1470,AJY Hopkins (AUS),20,33.0,2.0,509.0,16.41,0.0,0.0,-1.3767660633397092,5
1471,AC Cummins (WI),5,6.0,1.0,98.0,19.6,0.0,1.0,-1.3886751926840544,5
1472,BB Chari (ZIM),7,14.0,0.0,254.0,18.14,0.0,2.0,-1.391342834102314,5
1473,T Duffin (ZIM),2,4.0,0.0,80.0,20.0,0.0,1.0,-1.3918881355635109,5
1474,HA Furlonge (WI),3,5.0,0.0,99.0,19.8,0.0,1.0,-1.3984690942712121,5
1475,IR Bishop (WI),43,63.0,11.0,632.0,12.15,0.0,0.0,-1.4010452167476999,5
1476,D Shackleton (ENG),7,13.0,7.0,113.0,18.83,0.0,0.0,-1.4137445566732483,5
1477,BGK Walker (NZ),5,8.0,2.0,118.0,19.66,0.0,0.0,-1.4176150801869054,5
1478,EFS Tylecote (ENG),6,9.0,1.0,152.0,19.0,0.0,1.0,-1.430346341667931,5
1479,NS Yadav (INDIA),35,40.0,12.0,403.0,14.39,0.0,0.0,-1.4314413834404676,5
1480,IDK Salisbury (ENG),15,25.0,3.0,368.0,16.72,0.0,1.0,-1.4348220336919288,5
1481,GG Macaulay (ENG),8,10.0,4.0,112.0,18.66,0.0,1.0,-1.4359084255307657,5
1482,ET Killick (ENG),2,4.0,0.0,81.0,20.25,0.0,0.0,-1.4378010752531167,5
1483,AJ Bichel (AUS),19,22.0,1.0,355.0,16.9,0.0,1.0,-1.4414932480693672,5
1484,DW Gregory (AUS),3,5.0,2.0,60.0,20.0,0.0,0.0,-1.4419003520301819,5
1485,R Peel (ENG),20,33.0,4.0,427.0,14.72,0.0,3.0,-1.4443412613672664,5
1486,J Mubarak (SL),13,23.0,1.0,385.0,17.5,0.0,0.0,-1.4446360053146936,5
1487,DW Begbie (SA),5,7.0,0.0,138.0,19.71,0.0,0.0,-1.4452239778279725,5
1488,BJ Sealey (WI),1,2.0,0.0,41.0,20.5,0.0,0.0,-1.4467229805740505,5
1489,WH Lockwood (ENG),12,16.0,3.0,231.0,17.76,0.0,1.0,-1.449804261474517,5
1490,Salahuddin (PAK),5,8.0,2.0,117.0,19.5,0.0,0.0,-1.4511106359239767,5
1491,Zahid Fazal (PAK),9,16.0,0.0,288.0,18.0,0.0,1.0,-1.4515758269913328,5
1492,TA Ward (SA),23,42.0,9.0,459.0,13.9,0.0,2.0,-1.4534149013134285,5
1493,CM Christiani (WI),4,7.0,2.0,98.0,19.6,0.0,0.0,-1.465062966463355,5
1494,DR Hadlee (NZ),26,42.0,5.0,530.0,14.32,0.0,1.0,-1.4663387407554747,5
1495,T Shamsi (SA),2,4.0,3.0,20.0,20.0,0.0,0.0,-1.4706541014812957,5
1496,W Flowers (ENG),8,14.0,0.0,254.0,18.14,0.0,1.0,-1.4792305928335927,5
1497,CP Senanayake (SL),3,5.0,0.0,97.0,19.4,0.0,1.0,-1.4818868371430192,5
1498,AMB Rowan (SA),15,23.0,6.0,290.0,17.05,0.0,0.0,-1.4819521317968534,5
1499,RK Illingworth (ENG),9,14.0,7.0,128.0,18.28,0.0,0.0,-1.4847605024949324,5
1500,PH Sharma (INDIA),5,10.0,0.0,187.0,18.7,0.0,1.0,-1.4864053187023163,5
1501,JJ Roy (ENG),5,10.0,0.0,187.0,18.7,0.0,1.0,-1.4864053187023163,5
1502,Mohammed Shami (INDIA),47,60.0,19.0,453.0,11.04,0.0,1.0,-1.4891278138732573,5
1503,DM Smith (ENG),2,4.0,0.0,80.0,20.0,0.0,0.0,-1.48977659131256,5
1504,RD Parkar (INDIA),2,4.0,0.0,80.0,20.0,0.0,0.0,-1.48977659131256,5
1505,RJ Sidebottom (ENG),22,31.0,11.0,313.0,15.65,0.0,0.0,-1.490289598907199,5
1506,RJ Ratnayake (SL),23,36.0,6.0,433.0,14.43,0.0,2.0,-1.4926362923784753,5
1507,CMH Hathorn (SA),12,20.0,1.0,325.0,17.1,1.0,0.0,-1.4948022800716168,5
1508,Shahriar Hossain (BDESH),3,5.0,0.0,99.0,19.8,0.0,0.0,-1.4963575500202613,5
1509,Arshad Ayub (INDIA),13,19.0,4.0,257.0,17.13,0.0,1.0,-1.4963995774893784,5
1510,CP Carter (SA),10,15.0,5.0,181.0,18.1,0.0,0.0,-1.5038368875578554,5
1511,MRJ Veletta (AUS),8,11.0,0.0,207.0,18.81,0.0,0.0,-1.5065778495158342,5
1512,Nurul Hasan (BDESH),3,6.0,0.0,115.0,19.16,0.0,1.0,-1.5073241015090666,5
1513,RB Desai (INDIA),28,44.0,13.0,418.0,13.48,0.0,1.0,-1.5124308952238885,5
1514,OC da Costa (WI),5,9.0,1.0,153.0,19.12,0.0,0.0,-1.5129532543965112,5
1515,TG Hogan (AUS),7,12.0,1.0,205.0,18.63,0.0,0.0,-1.5233216740743165,5
1516,OE Wynne (SA),6,12.0,0.0,219.0,18.25,0.0,1.0,-1.523688335409491,5
1517,EL Bartlett (WI),5,8.0,1.0,131.0,18.71,0.0,1.0,-1.5256630861544083,5
1518,FLH Mooney (NZ),14,22.0,2.0,343.0,17.15,0.0,0.0,-1.5265394589785333,5
1519,UT Yadav (INDIA),45,50.0,22.0,339.0,12.1,0.0,0.0,-1.5277396954172864,5
1520,MA Wood (ENG),13,23.0,5.0,297.0,16.5,0.0,1.0,-1.5317221324620398,5
1521,WH St Hill (WI),3,6.0,0.0,117.0,19.5,0.0,0.0,-1.534114787934557,5
1522,AR Kapoor (INDIA),4,6.0,1.0,97.0,19.4,0.0,0.0,-1.5382732168867783,5
1523,E Leadbeater (ENG),2,2.0,0.0,40.0,20.0,0.0,0.0,-1.5400310227334226,5
1524,AH Jarvis (AUS),11,21.0,3.0,303.0,16.83,0.0,1.0,-1.5431126723067954,5
1525,SS Schultz (ENG),1,2.0,1.0,20.0,20.0,0.0,0.0,-1.5436575564741055,5
1526,WH Moule (AUS),1,2.0,0.0,40.0,20.0,0.0,0.0,-1.5500317197511935,5
1527,D Pretorius (SA),1,2.0,0.0,40.0,20.0,0.0,0.0,-1.5500317197511935,5
1528,JW Martin (AUS),8,13.0,1.0,214.0,17.83,0.0,1.0,-1.5616368419328839,5
1529,RJ Westcott (SA),5,9.0,0.0,166.0,18.44,0.0,1.0,-1.5655613793968985,5
1530,EAV Williams (WI),4,6.0,0.0,113.0,18.83,0.0,1.0,-1.566367844890147,5
1531,A Ratra (INDIA),6,10.0,1.0,163.0,18.11,1.0,0.0,-1.5742852661007913,5
1532,I Khan (SA),1,1.0,0.0,20.0,20.0,0.0,0.0,-1.5751589354616247,5
1533,LA Markham (SA),1,1.0,0.0,20.0,20.0,0.0,0.0,-1.5751589354616247,5
1534,BAW Mendis (SL),19,19.0,6.0,213.0,16.38,0.0,1.0,-1.5802159099486517,5
1535,BA Bolton (NZ),2,3.0,0.0,59.0,19.66,0.0,0.0,-1.5853592834048067,5
1536,SF Mire (ZIM),2,4.0,0.0,78.0,19.5,0.0,0.0,-1.5937276234314466,5
1537,MN Lathwell (ENG),2,4.0,0.0,78.0,19.5,0.0,0.0,-1.5937276234314466,5
1538,K Rabada (SA),41,60.0,10.0,586.0,11.72,0.0,0.0,-1.5949493226045284,5
1539,RC Motz (NZ),32,56.0,3.0,612.0,11.54,0.0,3.0,-1.5952161149626851,5
1540,ACB Langton (SA),15,23.0,4.0,298.0,15.68,0.0,2.0,-1.6007829836737204,5
1541,MJ Hoggard (ENG),67,92.0,27.0,473.0,7.27,0.0,0.0,-1.601497878133348,5
1542,RJ Bright (AUS),25,39.0,8.0,445.0,14.35,0.0,0.0,-1.601846811087175,5
1543,SC Stayers (WI),4,4.0,1.0,58.0,19.33,0.0,0.0,-1.6022586578388534,5
1544,KJ Wright (AUS),10,18.0,5.0,219.0,16.84,0.0,1.0,-1.6034166739090783,5
1545,H Morris (ENG),3,6.0,0.0,115.0,19.16,0.0,0.0,-1.6052125572581157,5
1546,DJ Capel (ENG),15,25.0,1.0,374.0,15.58,0.0,2.0,-1.605599361933048,5
1547,BN Jarman (AUS),19,30.0,3.0,400.0,14.81,0.0,2.0,-1.6071564559774296,5
1548,DAJ Bracewell (NZ),27,45.0,4.0,568.0,13.85,0.0,0.0,-1.6087017786470537,5
1549,HB Taber (AUS),16,27.0,5.0,353.0,16.04,0.0,0.0,-1.6089677954544654,5
1550,JMM Commaille (SA),12,22.0,1.0,355.0,16.9,0.0,0.0,-1.6093865829428113,5
1551,JTC Vaughan (NZ),6,12.0,1.0,201.0,18.27,0.0,0.0,-1.609811384148549,5
1552,D Gamsy (SA),2,3.0,1.0,39.0,19.5,0.0,0.0,-1.6118383829230463,5
1553,AH McKinnon (SA),8,13.0,7.0,107.0,17.83,0.0,0.0,-1.6129305097767381,5
1554,LV Maddocks (AUS),7,12.0,2.0,177.0,17.7,0.0,1.0,-1.6151569885799708,5
1555,FGJ Ford (ENG),5,9.0,0.0,168.0,18.66,0.0,0.0,-1.6169920129188848,5
1556,BW Hilfenhaus (AUS),27,38.0,12.0,355.0,13.65,0.0,1.0,-1.6208976192167868,5
1557,FM Misson (AUS),5,5.0,3.0,38.0,19.0,0.0,0.0,-1.6221422730718384,5
1558,AE Fagg (ENG),5,8.0,0.0,150.0,18.75,0.0,0.0,-1.6223546824234572,5
1559,R Swetman (ENG),11,17.0,2.0,254.0,16.93,0.0,1.0,-1.622397186819349,5
1560,MH Dekker (ZIM),14,22.0,1.0,333.0,15.85,0.0,2.0,-1.6233382592218688,5
1561,EP Nupen (SA),17,31.0,7.0,348.0,14.5,0.0,2.0,-1.6350488343261866,5
1562,SJ Benn (WI),26,39.0,5.0,486.0,14.29,0.0,0.0,-1.6354921433420446,5
1563,P Bhandari (INDIA),3,4.0,0.0,77.0,19.25,0.0,0.0,-1.6357024424731192,5
1564,RO Jenkins (ENG),9,12.0,1.0,198.0,18.0,0.0,0.0,-1.6371760528875832,5
1565,Saleem Altaf (PAK),21,31.0,12.0,276.0,14.52,0.0,1.0,-1.6389728254004765,5
1566,Mohammad Mithun (BDESH),7,13.0,0.0,228.0,17.53,0.0,1.0,-1.6434653276194435,5
1567,A Greenwood (ENG),2,4.0,0.0,77.0,19.25,0.0,0.0,-1.6457031394908899,5
1568,Shujauddin (PAK),19,32.0,6.0,395.0,15.19,0.0,0.0,-1.645895552958344,5
1569,W Voce (ENG),27,38.0,15.0,308.0,13.39,0.0,1.0,-1.6468118731852637,5
1570,Masood Anwar (PAK),1,2.0,0.0,39.0,19.5,0.0,0.0,-1.6533404589283367,5
1571,B Dooland (AUS),3,5.0,1.0,76.0,19.0,0.0,0.0,-1.6561765795450432,5
1572,BR Hartland (NZ),9,18.0,0.0,303.0,16.83,0.0,1.0,-1.657618203304895,5
1573,J Hunter (ENG),5,7.0,2.0,93.0,18.6,0.0,0.0,-1.663606626625101,5
1574,GF Bissett (SA),4,4.0,2.0,38.0,19.0,0.0,0.0,-1.6636443490771284,5
1575,CJ Jordan (ENG),8,11.0,1.0,180.0,18.0,0.0,0.0,-1.671019379732298,5
1576,GC Small (ENG),17,24.0,7.0,263.0,15.47,0.0,1.0,-1.6743287825556827,5
1577,DC Cleverley (NZ),2,4.0,3.0,19.0,19.0,0.0,0.0,-1.6766292868938384,5
1578,MC Snedden (NZ),25,30.0,8.0,327.0,14.86,0.0,0.0,-1.6834498149328467,5
1579,BC Strang (ZIM),26,45.0,9.0,465.0,12.91,0.0,1.0,-1.6838830012781167,5
1580,G Bean (ENG),3,5.0,0.0,92.0,18.4,0.0,1.0,-1.690431194322536,5
1581,JL Ontong (SA),2,4.0,1.0,57.0,19.0,0.0,0.0,-1.6906621993315016,5
1582,R Howorth (ENG),5,10.0,2.0,145.0,18.12,0.0,0.0,-1.6919231114137394,5
1583,N Gifford (ENG),15,20.0,9.0,179.0,16.27,0.0,0.0,-1.6925903087484142,5
1584,LMP Simmons (WI),8,16.0,0.0,278.0,17.37,0.0,0.0,-1.6952476314321918,5
1585,Zulfiqar Babar (PAK),15,18.0,9.0,144.0,16.0,0.0,1.0,-1.6971847006786258,5
1586,GHG Doggart (ENG),2,4.0,0.0,76.0,19.0,0.0,0.0,-1.6976786555503334,5
1587,MHW Papps (NZ),8,16.0,1.0,246.0,16.4,0.0,2.0,-1.6999769776546034,5
1588,G Geary (ENG),14,20.0,4.0,249.0,15.56,0.0,2.0,-1.7037400525601016,5
1589,Mohammad Sami (PAK),36,56.0,14.0,487.0,11.59,0.0,0.0,-1.7074784240015999,5
1590,IM Barrow (WI),11,19.0,2.0,276.0,16.23,1.0,0.0,-1.7079762824480185,5
1591,SJ Pegler (SA),16,28.0,5.0,356.0,15.47,0.0,0.0,-1.7117993084620304,5
1592,Abdur Rehman (PAK),22,31.0,3.0,395.0,14.1,0.0,2.0,-1.7138708264115432,5
1593,RG Hart (NZ),11,19.0,3.0,260.0,16.25,0.0,1.0,-1.7143870601859519,5
1594,RJ Inverarity (AUS),6,11.0,1.0,174.0,17.4,0.0,1.0,-1.7201858111517314,5
1595,T Panyangara (ZIM),9,18.0,6.0,201.0,16.75,0.0,0.0,-1.7221270378376947,5
1596,PK Lee (AUS),2,3.0,0.0,57.0,19.0,0.0,0.0,-1.722163578319021,5
1597,WA Johnston (AUS),40,49.0,25.0,273.0,11.37,0.0,0.0,-1.7246488167045797,5
1598,Hon.FSG Calthorpe (ENG),4,7.0,0.0,129.0,18.42,0.0,0.0,-1.725884742608766,5
1599,MR Bynoe (WI),4,6.0,0.0,111.0,18.5,0.0,0.0,-1.7333007410380465,5
1600,LE Plunkett (ENG),13,20.0,5.0,238.0,15.86,0.0,1.0,-1.737874537832902,5
1601,Umar Gul (PAK),47,67.0,9.0,577.0,9.94,0.0,1.0,-1.7415803938056125,5
1602,GM Ewing (ZIM),3,6.0,0.0,108.0,18.0,0.0,1.0,-1.7500063073673986,5
1603,G Duckworth (ENG),24,28.0,12.0,234.0,14.62,0.0,0.0,-1.750146275029043,5
1604,RO Schwarz (SA),20,35.0,8.0,374.0,13.85,0.0,1.0,-1.7513565130284119,5
1605,WA Shalders (SA),12,23.0,1.0,355.0,16.13,0.0,0.0,-1.7552115532697667,5
1606,EM Meuli (NZ),1,2.0,0.0,38.0,19.0,0.0,0.0,-1.7566491981054795,5
1607,GE Vivian (NZ),5,6.0,0.0,110.0,18.33,0.0,0.0,-1.758848928682056,5
1608,MS Hardikar (INDIA),2,4.0,1.0,56.0,18.66,0.0,0.0,-1.761117675713317,5
1609,Danish Kaneria (PAK),61,84.0,33.0,360.0,7.05,0.0,0.0,-1.7621851213332906,5
1610,AM Moir (NZ),17,30.0,8.0,327.0,14.86,0.0,0.0,-1.7634553910750126,5
1611,GG Arnold (ENG),34,46.0,11.0,421.0,12.02,0.0,1.0,-1.7641631877722006,5
1612,VWC Jupp (ENG),8,13.0,1.0,208.0,17.33,0.0,0.0,-1.7660455015677943,5
1613,Shoaib Akhtar (PAK),46,67.0,13.0,544.0,10.07,0.0,0.0,-1.7670918491809275,5
1614,PJ Wiseman (NZ),25,34.0,8.0,366.0,14.07,0.0,0.0,-1.7714879477545398,5
1615,Shahadat Hossain (BDESH),38,69.0,17.0,521.0,10.01,0.0,0.0,-1.7727473343324853,5
1616,SD Udal (ENG),4,7.0,1.0,109.0,18.16,0.0,0.0,-1.772897131374086,5
1617,Yajurvindra Singh (INDIA),4,7.0,1.0,109.0,18.16,0.0,0.0,-1.772897131374086,5
1618,AD Ogilvie (AUS),5,10.0,0.0,178.0,17.8,0.0,0.0,-1.7748740141507764,5
1619,DEJ Ironside (SA),3,4.0,2.0,37.0,18.5,0.0,0.0,-1.7769537852720425,5
1620,HJ Howarth (NZ),30,42.0,18.0,291.0,12.12,0.0,1.0,-1.7817160417413898,5
1621,S Chattergoon (WI),4,7.0,0.0,127.0,18.14,0.0,0.0,-1.784662538384077,5
1622,ST Finn (ENG),36,47.0,22.0,279.0,11.16,0.0,1.0,-1.7882520788820182,5
1623,CB Jennings (AUS),6,8.0,2.0,107.0,17.83,0.0,0.0,-1.7904387987498764,5
1624,R Rampaul (WI),18,31.0,8.0,335.0,14.56,0.0,0.0,-1.7976348613889732,5
1625,OC Scott (WI),8,13.0,3.0,171.0,17.1,0.0,0.0,-1.7985968614566705,5
1626,W Attewell (ENG),10,15.0,6.0,150.0,16.66,0.0,0.0,-1.8002073117978974,5
1627,HH Kanitkar (INDIA),2,4.0,0.0,74.0,18.5,0.0,0.0,-1.8016296876692202,5
1628,A Maregwede (ZIM),2,4.0,0.0,74.0,18.5,0.0,0.0,-1.8016296876692202,5
1629,TJ Matthews (AUS),8,10.0,1.0,153.0,17.0,0.0,1.0,-1.8080870827566842,5
1630,PA McAlister (AUS),8,16.0,1.0,252.0,16.8,0.0,0.0,-1.8097669745139204,5
1631,AA Mallett (AUS),38,50.0,13.0,430.0,11.62,0.0,0.0,-1.8108359042366367,5
1632,KMDN Kulasekara (SL),21,28.0,1.0,391.0,14.48,0.0,1.0,-1.8215867666570322,5
1633,EW Dempster (NZ),5,8.0,2.0,106.0,17.66,0.0,0.0,-1.8359883804294264,5
1634,Saeed Ajmal (PAK),35,53.0,12.0,451.0,11.0,0.0,1.0,-1.8391437325814608,5
1635,WJ O'Reilly (AUS),27,39.0,7.0,410.0,12.81,0.0,1.0,-1.8418698907806001,5
1636,AE Dick (NZ),17,30.0,4.0,370.0,14.23,0.0,1.0,-1.8441881495354315,5
1637,S Wazir Ali (INDIA),7,14.0,0.0,237.0,16.92,0.0,0.0,-1.8485448544244278,5
1638,SP Jones (ENG),18,18.0,5.0,205.0,15.76,0.0,0.0,-1.852051178568835,5
1639,JA McCollum (IRE),2,4.0,0.0,73.0,18.25,0.0,0.0,-1.8536052037286634,5
1640,S Elworthy (SA),4,5.0,1.0,72.0,18.0,0.0,0.0,-1.854077946765046,5
1641,Abdur Razzak (BDESH),13,22.0,6.0,248.0,15.5,0.0,0.0,-1.8594771695909236,5
1642,LH Gay (ENG),1,2.0,0.0,37.0,18.5,0.0,0.0,-1.8599579372826227,5
1643,Usman Salahuddin (PAK),1,2.0,0.0,37.0,18.5,0.0,0.0,-1.8599579372826227,5
1644,GB Lawrence (SA),5,8.0,0.0,141.0,17.62,0.0,0.0,-1.860161487391152,5
1645,WW Davis (WI),15,17.0,4.0,202.0,15.53,0.0,1.0,-1.8648196369541317,5
1646,MB Poore (NZ),14,24.0,1.0,355.0,15.43,0.0,0.0,-1.866661827088225,5
1647,TBA May (AUS),24,28.0,12.0,225.0,14.06,0.0,0.0,-1.8709133312883826,5
1648,WJ Watson (AUS),4,7.0,1.0,106.0,17.66,0.0,0.0,-1.8774904564347163,5
1649,R Appleyard (ENG),9,9.0,6.0,51.0,17.0,0.0,0.0,-1.8776699678615694,5
1650,TM Findlay (WI),10,16.0,3.0,212.0,16.3,0.0,0.0,-1.8796837001596025,5
1651,SKL de Silva (SL),3,4.0,2.0,36.0,18.0,0.0,0.0,-1.8802625244491853,5
1652,SJ Cook (SA),3,6.0,0.0,107.0,17.83,0.0,0.0,-1.8834436477782275,5
1653,EA McDonald (AUS),11,12.0,5.0,116.0,16.57,0.0,0.0,-1.8865886278604191,5
1654,RO Scarlett (WI),3,4.0,1.0,54.0,18.0,0.0,0.0,-1.8879212736097608,5
1655,DK Morrison (NZ),48,71.0,26.0,379.0,8.42,0.0,0.0,-1.8928823481521806,5
1656,AMJG Amerasinghe (SL),2,4.0,1.0,54.0,18.0,0.0,0.0,-1.8979219706275312,5
1657,ET Smith (ENG),3,5.0,0.0,87.0,17.4,0.0,1.0,-1.898975551502053,5
1658,LS Birkett (WI),4,8.0,0.0,136.0,17.0,0.0,1.0,-1.902791586700487,5
1659,W Brockwell (ENG),7,12.0,0.0,202.0,16.83,0.0,0.0,-1.914067781458945,5
1660,Mohammad Farooq (PAK),7,9.0,4.0,85.0,17.0,0.0,0.0,-1.9142734461017483,5
1661,NW Bracken (AUS),5,6.0,2.0,70.0,17.5,0.0,0.0,-1.9165269028786425,5
1662,WPA Crawford (AUS),4,5.0,2.0,53.0,17.66,0.0,0.0,-1.9168746739862859,5
1663,AER Gilligan (ENG),11,16.0,3.0,209.0,16.07,0.0,0.0,-1.9188364472353465,5
1664,Nayeem Hasan (BDESH),4,6.0,2.0,70.0,17.5,0.0,0.0,-1.9265275998964129,5
1665,AHH Gilligan (ENG),4,4.0,0.0,71.0,17.75,0.0,0.0,-1.9375548418120083,5
1666,A Dananjaya (SL),6,10.0,2.0,135.0,16.87,0.0,0.0,-1.9450114594019032,5
1667,FH Edwards (WI),55,88.0,28.0,394.0,6.56,0.0,0.0,-1.947939143788886,5
1668,Akram Khan (BDESH),8,16.0,0.0,259.0,16.18,0.0,0.0,-1.9517973393655708,5
1669,EG McLeod (NZ),1,2.0,1.0,18.0,18.0,0.0,0.0,-1.9556079272991904,5
1670,MJ Gopalan (INDIA),1,2.0,1.0,18.0,18.0,0.0,0.0,-1.9556079272991904,5
1671,G Cook (ENG),7,13.0,0.0,203.0,15.61,0.0,2.0,-1.955873348957918,5
1672,TL Best (WI),25,38.0,6.0,401.0,12.53,0.0,1.0,-1.9566465101711772,5
1673,MAR Samarasekera (SL),4,7.0,0.0,118.0,16.85,0.0,1.0,-1.9574341503980506,5
1674,SP James (ENG),2,4.0,0.0,71.0,17.75,0.0,0.0,-1.95755623584755,5
1675,EAR de Silva (SL),10,16.0,4.0,185.0,15.41,0.0,1.0,-1.9626634060246815,5
1676,Mohammad Ramzan (PAK),1,2.0,0.0,36.0,18.0,0.0,0.0,-1.9632666764597655,5
1677,JP Stephenson (ENG),1,2.0,0.0,36.0,18.0,0.0,0.0,-1.9632666764597655,5
1678,EM Grace (ENG),1,2.0,0.0,36.0,18.0,0.0,0.0,-1.9632666764597655,5
1679,NH Fairbrother (ENG),10,15.0,1.0,219.0,15.64,0.0,1.0,-1.9635403039485548,5
1680,A Nortje (SA),3,6.0,3.0,52.0,17.33,0.0,0.0,-1.9637761394736446,5
1681,GTS Stevens (ENG),10,17.0,0.0,263.0,15.47,0.0,1.0,-1.9648433145927133,5
1682,ST Callaway (AUS),3,6.0,1.0,87.0,17.4,0.0,0.0,-1.9653626282635828,5
1683,NS Harford (NZ),8,15.0,0.0,229.0,15.26,0.0,2.0,-1.9764768340684746,5
1684,F Hearne (ENG/SA),6,10.0,0.0,168.0,16.8,0.0,0.0,-1.9766291390212405,5
1685,WVS Ling (SA),6,10.0,0.0,168.0,16.8,0.0,0.0,-1.9766291390212405,5
1686,HH Massie (AUS),9,16.0,0.0,249.0,15.56,0.0,1.0,-1.977637509348082,5
1687,EJ Gray (NZ),10,16.0,0.0,248.0,15.5,0.0,1.0,-1.980599078820303,5
1688,MS Kasprowicz (AUS),38,54.0,12.0,445.0,10.59,0.0,0.0,-1.9827889839651274,5
1689,PM Pushpakumara (SL),4,8.0,2.0,102.0,17.0,0.0,0.0,-1.9840779582448984,5
1690,RH Scott (NZ),1,1.0,0.0,18.0,18.0,0.0,0.0,-1.9871093062867096,5
1691,Gursharan Singh (INDIA),1,1.0,0.0,18.0,18.0,0.0,0.0,-1.9871093062867096,5
