,Player,Mat,Inn,NO,Runs,Avg,100,50
690,HD Rutherford (NZ),16,29.0,1.0,755.0,26.96,1.0,1.0
691,RR Pant (INDIA),11,18.0,1.0,754.0,44.35,2.0,2.0
692,Mohammad Amir (PAK),36,67.0,11.0,751.0,13.41,0.0,0.0
693,GOB Allen (ENG),25,33.0,2.0,750.0,24.19,1.0,3.0
694,S Venkataraghavan (INDIA),57,76.0,12.0,748.0,11.68,0.0,2.0
695,Nasim-ul-Ghani (PAK),29,50.0,5.0,747.0,16.6,1.0,2.0
696,R Abel (ENG),13,22.0,2.0,744.0,37.2,2.0,2.0
697,Haris Sohail (PAK),13,22.0,1.0,744.0,35.42,2.0,2.0
698,Liton Das (BDESH),18,31.0,1.0,744.0,24.8,0.0,4.0
699,SJ Harmison (ENG/ICC),63,86.0,23.0,743.0,11.79,0.0,0.0
700,GAR Lock (ENG),49,63.0,9.0,742.0,13.74,0.0,3.0
701,MJ Santner (NZ),22,29.0,0.0,741.0,25.55,1.0,2.0
702,PL Symcox (SA),20,27.0,1.0,741.0,28.5,1.0,4.0
703,RS Modi (INDIA),10,17.0,1.0,736.0,46.0,1.0,6.0
704,EAS Prasanna (INDIA),49,84.0,20.0,735.0,11.48,0.0,0.0
705,FR Brown (ENG),22,30.0,1.0,734.0,25.31,0.0,5.0
706,RW Morgan (NZ),20,34.0,1.0,734.0,22.24,0.0,5.0
707,JJ Lyons (AUS),14,27.0,0.0,731.0,27.07,1.0,3.0
708,J Arun Lal (INDIA),16,29.0,1.0,729.0,26.03,0.0,6.0
709,MD Bell (NZ),18,32.0,2.0,729.0,24.3,2.0,3.0
710,DJ Nash (NZ),32,45.0,14.0,729.0,23.51,0.0,4.0
711,W Barnes (ENG),21,33.0,2.0,725.0,23.38,1.0,5.0
712,N Deonarine (WI),18,30.0,2.0,725.0,25.89,0.0,5.0
713,DJ Malan (ENG),15,26.0,0.0,724.0,27.84,1.0,6.0
714,CB van Ryneveld (SA),19,33.0,6.0,724.0,26.81,0.0,3.0
715,CS Dempster (NZ),10,15.0,4.0,723.0,65.72,2.0,5.0
716,WW Read (ENG),18,27.0,1.0,720.0,27.69,1.0,5.0
717,NV Knight (ENG),17,30.0,0.0,719.0,23.96,1.0,4.0
718,Asim Kamal (PAK),12,20.0,1.0,717.0,37.73,0.0,8.0
719,AV Bedser (ENG),51,71.0,15.0,714.0,12.75,0.0,1.0
720,RG Archer (AUS),19,30.0,1.0,713.0,24.58,1.0,2.0
721,DG Brownlie (NZ),14,25.0,1.0,711.0,29.62,1.0,4.0
722,JDS Neesham (NZ),12,22.0,1.0,709.0,33.76,2.0,4.0
723,D Bishoo (WI),36,61.0,15.0,707.0,15.36,0.0,0.0
724,VY Richardson (AUS),19,30.0,0.0,706.0,23.53,1.0,1.0
725,I Sharma (INDIA),96,127.0,43.0,703.0,8.36,0.0,1.0
726,W Bruce (AUS),14,26.0,2.0,702.0,29.25,0.0,5.0
727,ARS Silva (SL),12,23.0,3.0,702.0,35.1,1.0,5.0
728,Yasir Shah (PAK),38,57.0,6.0,702.0,13.76,1.0,0.0
729,EJG Morgan (ENG),16,24.0,1.0,700.0,30.43,2.0,3.0
730,M Ntini (SA),101,116.0,45.0,699.0,9.84,0.0,0.0
731,EL Dalton (SA),15,24.0,2.0,698.0,31.72,2.0,3.0
732,WM Darling (AUS),14,27.0,1.0,697.0,26.8,0.0,6.0
733,DR Pringle (ENG),30,50.0,4.0,695.0,15.1,0.0,1.0
734,IC Davis (AUS),15,27.0,1.0,692.0,26.61,1.0,4.0
735,Hanumant Singh (INDIA),14,24.0,2.0,686.0,31.18,1.0,5.0
736,Al Sahariar (BDESH),15,30.0,0.0,683.0,22.76,0.0,4.0
737,CJ Anderson (NZ),13,22.0,1.0,683.0,32.52,1.0,4.0
738,FL Fane (ENG),14,27.0,1.0,682.0,26.23,1.0,3.0
739,VA Holder (WI),40,59.0,11.0,682.0,14.2,0.0,0.0
740,A Bacher (SA),12,22.0,1.0,679.0,32.33,0.0,6.0
741,JR Thomson (AUS),51,73.0,20.0,679.0,12.81,0.0,0.0
742,RW Chakabva (ZIM),14,28.0,2.0,678.0,26.07,1.0,4.0
743,JC Laker (ENG),46,63.0,15.0,676.0,14.08,0.0,2.0
744,JB Statham (ENG),70,87.0,28.0,675.0,11.44,0.0,0.0
745,DS Steele (ENG),8,16.0,0.0,673.0,42.06,1.0,5.0
746,J Garner (WI),58,68.0,14.0,672.0,12.44,0.0,1.0
747,H Verity (ENG),40,44.0,12.0,669.0,20.9,0.0,3.0
748,BA Pocock (NZ),15,29.0,0.0,665.0,22.93,0.0,6.0
749,JJ Kelly (AUS),36,56.0,17.0,664.0,17.02,0.0,0.0
750,DPB Morkel (SA),16,28.0,1.0,663.0,24.55,0.0,4.0
751,Hannan Sarkar (BDESH),17,33.0,0.0,662.0,20.06,0.0,5.0
752,AB Barath (WI),15,28.0,0.0,657.0,23.46,1.0,4.0
753,KD Boyce (WI),21,30.0,3.0,657.0,24.33,0.0,4.0
754,W Bates (ENG),15,26.0,2.0,656.0,27.33,0.0,5.0
755,BS Bedi (INDIA),67,101.0,28.0,656.0,8.98,0.0,1.0
756,JFM Morrison (NZ),17,29.0,0.0,656.0,22.62,1.0,3.0
757,Mushtaq Ahmed (PAK),52,72.0,16.0,656.0,11.71,0.0,2.0
758,Mansoor Akhtar (PAK),19,29.0,3.0,655.0,25.19,1.0,3.0
759,C Milburn (ENG),9,16.0,2.0,654.0,46.71,2.0,2.0
760,JH Wardle (ENG),28,41.0,8.0,653.0,19.78,0.0,2.0
761,AA Donald (SA),72,94.0,33.0,652.0,10.68,0.0,0.0
762,HJH Marshall (NZ),13,19.0,2.0,652.0,38.35,2.0,2.0
763,JL Denly (ENG),11,21.0,0.0,651.0,31.0,0.0,6.0
764,A Mishra (INDIA),22,32.0,2.0,648.0,21.6,0.0,4.0
765,KJ O'Keeffe (AUS),24,34.0,9.0,644.0,25.76,0.0,1.0
766,GD McGrath (AUS),124,138.0,51.0,641.0,7.36,0.0,1.0
767,GS Camacho (WI),11,22.0,0.0,640.0,29.09,0.0,4.0
768,PJ Cummins (AUS),29,43.0,6.0,639.0,17.27,0.0,2.0
769,AFG Griffith (WI),14,27.0,1.0,638.0,24.53,1.0,4.0
770,Mehidy Hasan Miraz (BDESH),22,42.0,6.0,638.0,17.72,0.0,2.0
771,MT Renshaw (AUS),11,20.0,1.0,636.0,33.47,1.0,3.0
772,LN Constantine (WI),18,33.0,0.0,635.0,19.24,0.0,4.0
773,IR Bishop (WI),43,63.0,11.0,632.0,12.15,0.0,0.0
774,SC Cook (SA),11,19.0,0.0,632.0,33.26,3.0,2.0
775,HG Deane (SA),17,27.0,2.0,628.0,25.12,0.0,3.0
776,RG Twose (NZ),16,27.0,2.0,628.0,25.12,0.0,6.0
777,PN Kirsten (SA),12,22.0,2.0,626.0,31.3,1.0,4.0
778,TW Jarvis (NZ),13,22.0,1.0,625.0,29.76,1.0,2.0
779,M Kaif (INDIA),13,22.0,3.0,624.0,32.84,1.0,3.0
780,PF Warner (ENG),15,28.0,2.0,622.0,23.92,1.0,3.0
781,Fazal Mahmood (PAK),34,50.0,6.0,620.0,14.09,0.0,1.0
782,JAJ Christy (SA),10,18.0,0.0,618.0,34.33,1.0,5.0
783,UDU Chandana (SL),16,24.0,1.0,616.0,26.78,0.0,2.0
784,TA Boult (NZ),65,80.0,38.0,615.0,14.64,0.0,1.0
785,TMK Mawoyo (ZIM),11,22.0,1.0,615.0,29.28,1.0,3.0
786,RC Motz (NZ),32,56.0,3.0,612.0,11.54,0.0,3.0
787,S Mushtaq Ali (INDIA),11,20.0,1.0,612.0,32.21,2.0,3.0
788,RWV Robins (ENG),19,27.0,4.0,612.0,26.6,1.0,4.0
789,JC Watkins (SA),15,27.0,1.0,612.0,23.53,0.0,3.0
790,CS Baugh (WI),21,36.0,2.0,610.0,17.94,0.0,3.0
791,SM Curran (ENG),14,25.0,4.0,610.0,29.04,0.0,3.0
792,PM Pollock (SA),28,41.0,13.0,607.0,21.67,0.0,2.0
793,JT Ikin (ENG),18,31.0,2.0,606.0,20.89,0.0,3.0
794,RJ Harris (AUS),27,39.0,11.0,603.0,21.53,0.0,3.0
795,RE Foster (ENG),8,14.0,1.0,602.0,46.3,1.0,1.0
796,DA Murray (WI),19,31.0,3.0,601.0,21.46,0.0,3.0
797,AG Steel (ENG),13,20.0,3.0,600.0,35.29,2.0,0.0
798,BAG Murray (NZ),13,26.0,1.0,598.0,23.92,0.0,5.0
799,TJE Andrews (AUS),16,23.0,1.0,592.0,26.9,0.0,4.0
800,Adnan Akmal (PAK),21,29.0,5.0,591.0,24.62,0.0,3.0
801,RG Barlow (ENG),17,30.0,4.0,591.0,22.73,0.0,2.0
802,HR Lance (SA),13,22.0,1.0,591.0,28.14,0.0,5.0
803,V Sibanda (ZIM),14,28.0,0.0,591.0,21.1,0.0,2.0
804,MD Craig (NZ),15,25.0,9.0,589.0,36.81,0.0,3.0
805,K Rabada (SA),41,60.0,10.0,586.0,11.72,0.0,0.0
806,MHN Walker (AUS),34,43.0,13.0,586.0,19.53,0.0,1.0
807,Alok Kapali (BDESH),17,34.0,1.0,584.0,17.69,0.0,2.0
808,Aftab Ahmed (BDESH),16,31.0,3.0,582.0,20.78,0.0,1.0
809,MP Donnelly (NZ),7,12.0,1.0,582.0,52.9,1.0,4.0
810,PA Gibb (ENG),8,13.0,0.0,581.0,44.69,2.0,3.0
811,MLC Foster (WI),14,24.0,5.0,580.0,30.52,1.0,1.0
812,Umar Gul (PAK),47,67.0,9.0,577.0,9.94,0.0,1.0
813,MN Waller (ZIM),14,28.0,1.0,577.0,21.37,0.0,4.0
814,A Jadeja (INDIA),15,24.0,2.0,576.0,26.18,0.0,4.0
815,RS Bopara (ENG),13,19.0,1.0,575.0,31.94,3.0,0.0
816,TT Bresnan (ENG),23,26.0,4.0,575.0,26.13,0.0,3.0
817,AD Hales (ENG),11,21.0,0.0,573.0,27.28,0.0,5.0
818,CE McLeod (AUS),17,29.0,5.0,573.0,23.87,1.0,4.0
819,RS Morton (WI),15,27.0,1.0,573.0,22.03,0.0,4.0
820,AB Agarkar (INDIA),26,39.0,5.0,571.0,16.79,1.0,0.0
821,SB Doull (NZ),32,50.0,11.0,570.0,14.61,0.0,0.0
822,E Chigumbura (ZIM),14,27.0,0.0,569.0,21.07,0.0,4.0
823,GL Jessop (ENG),18,26.0,0.0,569.0,21.88,1.0,3.0
824,DAJ Bracewell (NZ),27,45.0,4.0,568.0,13.85,0.0,0.0
825,KA Maharaj (SA),28,44.0,6.0,566.0,14.89,0.0,1.0
826,Aamer Malik (PAK),14,19.0,3.0,565.0,35.31,2.0,3.0
827,EDAS McMorris (WI),13,21.0,0.0,564.0,26.85,1.0,3.0
828,GO Rabone (NZ),12,20.0,2.0,562.0,31.22,1.0,2.0
829,CV Grimmett (AUS),37,50.0,10.0,557.0,13.92,0.0,1.0
830,MF Maharoof (SL),22,34.0,4.0,556.0,18.53,0.0,3.0
831,GP Wickramasinghe (SL),40,64.0,5.0,555.0,9.4,0.0,1.0
832,SJE Loxton (AUS),12,15.0,0.0,554.0,36.93,1.0,3.0
833,N Wagner (NZ),46,60.0,16.0,554.0,12.59,0.0,0.0
834,SC Williams (ZIM),10,20.0,0.0,553.0,27.65,1.0,2.0
835,AG Chipperfield (AUS),14,20.0,3.0,552.0,32.47,1.0,2.0
836,B Kumar (INDIA),21,29.0,4.0,552.0,22.08,0.0,3.0
837,D Lloyd (ENG),9,15.0,2.0,552.0,42.46,1.0,0.0
838,S Amarnath (INDIA),10,18.0,0.0,550.0,30.55,1.0,3.0
839,M Dillon (WI),38,68.0,3.0,549.0,8.44,0.0,0.0
840,Iqbal Qasim (PAK),50,57.0,15.0,549.0,13.07,0.0,1.0
841,JM Vince (ENG),13,22.0,0.0,548.0,24.9,0.0,3.0
842,CB Llewellyn (SA),15,28.0,1.0,544.0,20.14,0.0,4.0
843,Shoaib Akhtar (PAK),46,67.0,13.0,544.0,10.07,0.0,0.0
844,WA Hadlee (NZ),11,19.0,1.0,543.0,30.16,1.0,2.0
845,ML Apte (INDIA),7,13.0,2.0,542.0,49.27,1.0,3.0
846,AG Cremer (ZIM),19,38.0,5.0,540.0,16.36,1.0,0.0
847,AU Rashid (ENG),19,33.0,5.0,540.0,19.28,0.0,2.0
848,LPC Silva (SL),11,17.0,1.0,537.0,33.56,1.0,2.0
849,RA Harper (WI),25,32.0,3.0,535.0,18.44,0.0,3.0
850,RO Collinge (NZ),35,50.0,13.0,533.0,14.4,0.0,2.0
851,PJ Moor (ZIM),8,16.0,1.0,533.0,35.53,0.0,5.0
852,PL van der Merwe (SA),15,23.0,2.0,533.0,25.38,0.0,3.0
853,NC Johnson (ZIM),13,23.0,1.0,532.0,24.18,1.0,4.0
854,HH Pandya (INDIA),11,18.0,1.0,532.0,31.29,1.0,4.0
855,S Ranatunga (SL),9,17.0,1.0,531.0,33.18,2.0,2.0
856,Aminul Islam (BDESH),13,26.0,1.0,530.0,21.2,1.0,2.0
857,CC Griffith (WI),28,42.0,10.0,530.0,16.56,0.0,1.0
858,DR Hadlee (NZ),26,42.0,5.0,530.0,14.32,0.0,1.0
859,LJ Tancred (SA),14,26.0,1.0,530.0,21.2,0.0,2.0
860,MD Stoneman (ENG),11,20.0,1.0,526.0,27.68,0.0,5.0
861,CL Vincent (SA),25,38.0,12.0,526.0,20.23,0.0,2.0
862,CS Serjeant (AUS),12,23.0,1.0,522.0,23.72,1.0,2.0
863,GR Dilley (ENG),41,58.0,19.0,521.0,13.35,0.0,2.0
864,Shahadat Hossain (BDESH),38,69.0,17.0,521.0,10.01,0.0,0.0
865,Nafees Iqbal (BDESH),11,22.0,0.0,518.0,23.54,1.0,2.0
866,GJ Bonnor (AUS),17,30.0,0.0,512.0,17.06,1.0,2.0
867,WW Wade (SA),11,19.0,1.0,511.0,28.38,1.0,3.0
868,WH Scotton (ENG),15,25.0,2.0,510.0,22.17,0.0,3.0
869,AJY Hopkins (AUS),20,33.0,2.0,509.0,16.41,0.0,0.0
870,BA Richards (SA),4,7.0,0.0,508.0,72.57,2.0,2.0
871,Maqsood Ahmed (PAK),16,27.0,1.0,507.0,19.5,0.0,2.0
872,JT Murray (ENG),21,28.0,5.0,506.0,22.0,1.0,2.0
873,RO Hinds (WI),15,25.0,1.0,505.0,21.04,0.0,2.0
874,BJ Hodge (AUS),6,11.0,2.0,503.0,55.88,1.0,2.0
875,BK Shepherd (AUS),9,14.0,2.0,502.0,41.83,0.0,5.0
876,Taslim Arif (PAK),6,10.0,2.0,501.0,62.62,1.0,2.0
877,ME Chapple (NZ),14,27.0,1.0,497.0,19.11,0.0,3.0
878,JB Bolus (ENG),7,12.0,0.0,496.0,41.33,0.0,4.0
879,W Larkins (ENG),13,25.0,1.0,493.0,20.54,0.0,3.0
880,ML Page (NZ),14,20.0,0.0,492.0,24.6,1.0,2.0
881,LR Gibbs (WI),79,109.0,39.0,488.0,6.97,0.0,0.0
882,Mohammad Sami (PAK),36,56.0,14.0,487.0,11.59,0.0,0.0
883,A Ward (ENG),7,13.0,0.0,487.0,37.46,1.0,3.0
884,SJ Benn (WI),26,39.0,5.0,486.0,14.29,0.0,0.0
885,FR Martin (WI),9,18.0,1.0,486.0,28.58,1.0,0.0
886,Imam-ul-Haq (PAK),11,21.0,2.0,485.0,25.52,0.0,3.0
887,H Larwood (ENG),21,28.0,3.0,485.0,19.4,0.0,2.0
888,CE Pellew (AUS),10,14.0,1.0,484.0,37.23,2.0,1.0
889,GJ Gilmour (AUS),15,22.0,1.0,483.0,23.0,1.0,3.0
890,PR Sleep (AUS),14,21.0,1.0,483.0,24.15,0.0,3.0
891,CT Radley (ENG),8,10.0,0.0,481.0,48.1,2.0,2.0
892,Sabbir Rahman (BDESH),11,22.0,2.0,481.0,24.05,0.0,4.0
893,RH Spooner (ENG),10,15.0,0.0,481.0,32.06,1.0,4.0
894,BW Yuile (NZ),17,33.0,6.0,481.0,17.81,0.0,1.0
895,JED Sealy (WI),11,19.0,2.0,478.0,28.11,0.0,3.0
896,J Worrall (AUS),11,22.0,3.0,478.0,25.15,0.0,5.0
897,KTGD Prasad (SL),25,39.0,2.0,476.0,12.86,0.0,0.0
898,LS Darling (AUS),12,18.0,1.0,474.0,27.88,0.0,3.0
899,A Jackson (AUS),8,11.0,1.0,474.0,47.4,1.0,2.0
900,MJ Hoggard (ENG),67,92.0,27.0,473.0,7.27,0.0,0.0
901,TP Horan (AUS),15,27.0,2.0,471.0,18.84,1.0,1.0
902,SB Bangar (INDIA),12,18.0,2.0,470.0,29.37,1.0,3.0
903,WKM Benjamin (WI),21,26.0,1.0,470.0,18.8,0.0,2.0
904,JT Brown (ENG),8,16.0,3.0,470.0,36.15,1.0,1.0
905,JN Crawford (ENG),12,23.0,2.0,469.0,22.33,0.0,2.0
906,AB Williams (WI),7,12.0,0.0,469.0,39.08,2.0,1.0
907,PM Nevill (AUS),17,23.0,2.0,468.0,22.28,0.0,3.0
908,GH Vihari (INDIA),7,12.0,1.0,466.0,42.36,1.0,3.0
909,BC Strang (ZIM),26,45.0,9.0,465.0,12.91,0.0,1.0
910,RJ Peterson (SA),15,20.0,3.0,464.0,27.29,0.0,3.0
911,JM Read (ENG),17,29.0,2.0,461.0,17.07,0.0,2.0
912,PL Harris (SA),37,48.0,5.0,460.0,10.69,0.0,0.0
913,PGV van der Bijl (SA),5,9.0,0.0,460.0,51.11,1.0,2.0
914,CL McCool (AUS),14,17.0,4.0,459.0,35.3,1.0,1.0
915,TA Ward (SA),23,42.0,9.0,459.0,13.9,0.0,2.0
916,VJ Scott (NZ),10,17.0,1.0,458.0,28.62,0.0,3.0
917,A Cotter (AUS),21,37.0,2.0,457.0,13.05,0.0,0.0
918,AR Lewis (ENG),9,16.0,2.0,457.0,32.64,1.0,3.0
919,TE Blain (NZ),11,20.0,3.0,456.0,26.82,0.0,2.0
920,TM Moody (AUS),8,14.0,0.0,456.0,32.57,2.0,3.0
921,JM Blanckenberg (SA),18,30.0,7.0,455.0,19.78,0.0,2.0
922,DAS Gunaratne (SL),6,10.0,2.0,455.0,56.87,1.0,3.0
923,MD Moxon (ENG),10,17.0,1.0,455.0,28.43,0.0,3.0
924,BH Pairaudeau (WI),13,21.0,0.0,454.0,21.61,1.0,3.0
925,BH Valentine (ENG),7,9.0,2.0,454.0,64.85,2.0,1.0
926,B Wood (ENG),12,21.0,0.0,454.0,21.61,0.0,2.0
927,Mohammed Shami (INDIA),47,60.0,19.0,453.0,11.04,0.0,1.0
928,Saeed Ajmal (PAK),35,53.0,12.0,451.0,11.0,0.0,1.0
929,MA Vermeulen (ZIM),9,18.0,0.0,449.0,24.94,1.0,2.0
930,WV Raman (INDIA),11,19.0,1.0,448.0,24.88,0.0,4.0
931,IS Sodhi (NZ),17,25.0,4.0,448.0,21.33,0.0,3.0
932,TR Ambrose (ENG),11,16.0,1.0,447.0,29.8,1.0,3.0
933,TJ Friend (ZIM),13,19.0,4.0,447.0,29.8,0.0,3.0
934,JL Hendriks (WI),20,32.0,8.0,447.0,18.62,0.0,2.0
935,CT Bancroft (AUS),10,18.0,1.0,446.0,26.23,0.0,3.0
936,NA Foster (ENG),29,45.0,7.0,446.0,11.73,0.0,0.0
937,RJ Bright (AUS),25,39.0,8.0,445.0,14.35,0.0,0.0
938,MS Kasprowicz (AUS),38,54.0,12.0,445.0,10.59,0.0,0.0
939,CD Cumming (NZ),11,19.0,2.0,441.0,25.94,0.0,1.0
940,Mohammad Ilyas (PAK),10,19.0,0.0,441.0,23.21,1.0,2.0
941,JW Guy (NZ),12,23.0,2.0,440.0,20.95,1.0,3.0
942,RM Hogg (AUS),38,58.0,13.0,439.0,9.75,0.0,1.0
943,WM Wallace (NZ),13,21.0,0.0,439.0,20.9,0.0,5.0
944,A Chopra (INDIA),10,19.0,0.0,437.0,23.0,0.0,2.0
945,Saleem Elahi (PAK),13,24.0,1.0,436.0,18.95,0.0,1.0
946,RJ Ratnayake (SL),23,36.0,6.0,433.0,14.43,0.0,2.0
947,PL Taylor (AUS),13,19.0,3.0,431.0,26.93,0.0,2.0
948,AA Mallett (AUS),38,50.0,13.0,430.0,11.62,0.0,0.0
949,AA Baig (INDIA),10,18.0,0.0,428.0,23.77,1.0,2.0
950,TB de Bruyn (SA),12,23.0,1.0,428.0,19.45,1.0,0.0
951,SP Jones (AUS),12,24.0,4.0,428.0,21.4,0.0,1.0
952,Imran Nazir (PAK),8,13.0,0.0,427.0,32.84,2.0,1.0
953,R Peel (ENG),20,33.0,4.0,427.0,14.72,0.0,3.0
954,PW Sherwell (SA),13,22.0,4.0,427.0,23.72,1.0,1.0
955,DR Tuffey (NZ),26,36.0,10.0,427.0,16.42,0.0,1.0
956,NM Hauritz (AUS),17,24.0,7.0,426.0,25.05,0.0,2.0
957,DT Ring (AUS),13,21.0,2.0,426.0,22.42,0.0,4.0
958,PK Amre (INDIA),11,13.0,3.0,425.0,42.5,1.0,3.0
959,D Denton (ENG),11,22.0,1.0,424.0,20.19,1.0,1.0
960,RW Anderson (NZ),9,18.0,0.0,423.0,23.5,0.0,3.0
961,AG Kripal Singh (INDIA),14,20.0,5.0,422.0,28.13,1.0,2.0
962,GG Arnold (ENG),34,46.0,11.0,421.0,12.02,0.0,1.0
963,RDB Croft (ENG),21,34.0,8.0,421.0,16.19,0.0,0.0
964,HG Vivian (NZ),7,10.0,0.0,421.0,42.1,1.0,5.0
965,RB Desai (INDIA),28,44.0,13.0,418.0,13.48,0.0,1.0
966,CK Kapugedera (SL),8,15.0,3.0,418.0,34.83,0.0,4.0
967,CL King (WI),9,16.0,3.0,418.0,32.15,1.0,2.0
968,Naeem Islam (BDESH),8,15.0,2.0,416.0,32.0,1.0,1.0
969,AE Relf (ENG),13,21.0,3.0,416.0,23.11,0.0,1.0
970,GL Weir (NZ),11,16.0,2.0,416.0,29.71,0.0,3.0
971,JL Pattinson (AUS),20,24.0,9.0,415.0,27.66,0.0,0.0
972,GC Grant (WI),12,22.0,6.0,413.0,25.81,0.0,3.0
973,AG Fairfax (AUS),10,12.0,4.0,410.0,51.25,0.0,4.0
974,WJ O'Reilly (AUS),27,39.0,7.0,410.0,12.81,0.0,1.0
975,AH Bakewell (ENG),6,9.0,0.0,409.0,45.44,1.0,3.0
976,DJ Insole (ENG),9,17.0,2.0,408.0,27.2,1.0,1.0
977,DBL Powell (WI),37,57.0,5.0,407.0,7.82,0.0,0.0
978,DS de Silva (SL),12,22.0,3.0,406.0,21.36,0.0,2.0
979,JH Hampshire (ENG),8,16.0,1.0,403.0,26.86,1.0,2.0
980,LR Johnson (WI),9,16.0,0.0,403.0,25.18,0.0,2.0
981,AJ Richardson (AUS),9,13.0,0.0,403.0,31.0,1.0,2.0
982,NS Yadav (INDIA),35,40.0,12.0,403.0,14.39,0.0,0.0
983,JR Hazlewood (AUS),51,62.0,29.0,402.0,12.18,0.0,0.0
984,TL Best (WI),25,38.0,6.0,401.0,12.53,0.0,1.0
985,KE Rigg (AUS),8,12.0,0.0,401.0,33.41,1.0,1.0
986,BN Jarman (AUS),19,30.0,3.0,400.0,14.81,0.0,2.0
987,NBF Mann (SA),19,31.0,1.0,400.0,13.33,0.0,1.0
988,M van Jaarsveld (SA),9,15.0,2.0,397.0,30.53,0.0,3.0
989,C Sharma (INDIA),23,27.0,9.0,396.0,22.0,0.0,1.0
990,Abdur Rehman (PAK),22,31.0,3.0,395.0,14.1,0.0,2.0
991,JW Gleeson (AUS),29,46.0,8.0,395.0,10.39,0.0,0.0
992,Shujauddin (PAK),19,32.0,6.0,395.0,15.19,0.0,0.0
993,S van Zyl (SA),12,17.0,2.0,395.0,26.33,1.0,0.0
994,JEF Beck (NZ),8,15.0,0.0,394.0,26.26,0.0,3.0
995,FH Edwards (WI),55,88.0,28.0,394.0,6.56,0.0,0.0
996,SJ Rixon (AUS),13,24.0,3.0,394.0,18.76,0.0,2.0
997,D Tallon (AUS),21,26.0,3.0,394.0,17.13,0.0,2.0
998,W Gunn (ENG),11,20.0,2.0,392.0,21.77,1.0,1.0
999,CL Smith (ENG),8,14.0,1.0,392.0,30.15,0.0,2.0
1000,KMDN Kulasekara (SL),21,28.0,1.0,391.0,14.48,0.0,1.0
1001,RB Minnett (AUS),9,15.0,0.0,391.0,26.06,0.0,3.0
1002,ARC Fraser (ENG),46,67.0,15.0,388.0,7.46,0.0,0.0
1003,CO Browne (WI),20,30.0,6.0,387.0,16.12,0.0,1.0
1004,VC Drakes (WI),12,20.0,2.0,386.0,21.44,0.0,1.0
1005,MS Harris (AUS),9,17.0,1.0,385.0,24.06,0.0,2.0
1006,J Mubarak (SL),13,23.0,1.0,385.0,17.5,0.0,0.0
1007,MJ Stewart (ENG),8,12.0,1.0,385.0,35.0,0.0,2.0
1008,Tapash Baisya (BDESH),21,40.0,6.0,384.0,11.29,0.0,2.0
1009,EE Hemmings (ENG),16,21.0,4.0,383.0,22.52,0.0,2.0
1010,J Moroney (AUS),7,12.0,1.0,383.0,34.81,2.0,1.0
1011,LK Germon (NZ),12,21.0,3.0,382.0,21.22,0.0,1.0
1012,DR Parry (WI),12,20.0,3.0,381.0,22.41,0.0,3.0
1013,JS Patel (NZ),24,38.0,8.0,381.0,12.7,0.0,0.0
1014,PGH Fender (ENG),13,21.0,1.0,380.0,19.0,0.0,2.0
1015,RIC Holder (WI),11,17.0,2.0,380.0,25.33,0.0,2.0
1016,DK Morrison (NZ),48,71.0,26.0,379.0,8.42,0.0,0.0
1017,S Shivnarine (WI),8,14.0,1.0,379.0,29.15,0.0,4.0
1018,PGZ Harris (NZ),9,18.0,1.0,378.0,22.23,1.0,1.0
1019,GN Edwards (NZ),8,15.0,0.0,377.0,25.13,0.0,3.0
1020,FG Mann (ENG),7,12.0,2.0,376.0,37.6,1.0,0.0
1021,DJ Capel (ENG),15,25.0,1.0,374.0,15.58,0.0,2.0
1022,GRA Langley (AUS),26,37.0,12.0,374.0,14.96,0.0,1.0
1023,KK Nair (INDIA),6,7.0,1.0,374.0,62.33,1.0,0.0
1024,RO Schwarz (SA),20,35.0,8.0,374.0,13.85,0.0,1.0
1025,Taijul Islam (BDESH),27,45.0,6.0,374.0,9.58,0.0,0.0
1026,WGA Parkhouse (ENG),7,13.0,0.0,373.0,28.69,0.0,2.0
1027,RG Samuels (WI),6,12.0,2.0,372.0,37.2,1.0,1.0
1028,AE Dick (NZ),17,30.0,4.0,370.0,14.23,0.0,1.0
1029,Talat Ali (PAK),10,18.0,2.0,370.0,23.12,0.0,2.0
1030,KDK Vithanage (SL),10,16.0,2.0,370.0,26.42,1.0,1.0
1031,NAM McLean (WI),19,32.0,2.0,368.0,12.26,0.0,0.0
1032,IDK Salisbury (ENG),15,25.0,3.0,368.0,16.72,0.0,1.0
1033,PJ Wiseman (NZ),25,34.0,8.0,366.0,14.07,0.0,0.0
1034,NJN Hawke (AUS),27,37.0,15.0,365.0,16.59,0.0,0.0
1035,WE Russell (ENG),10,18.0,1.0,362.0,21.29,0.0,2.0
1036,S Ramadhin (WI),43,58.0,14.0,361.0,8.2,0.0,0.0
1037,PR Adams (SA),45,55.0,15.0,360.0,9.0,0.0,0.0
1038,Danish Kaneria (PAK),61,84.0,33.0,360.0,7.05,0.0,0.0
1039,CMW Read (ENG),15,23.0,4.0,360.0,18.94,0.0,1.0
1040,PS de Villiers (SA),18,26.0,7.0,359.0,18.89,0.0,2.0
1041,HJH Scott (AUS),8,14.0,1.0,359.0,27.61,1.0,1.0
1042,ID Craig (AUS),11,18.0,0.0,358.0,19.88,0.0,2.0
1043,BC Rose (ENG),9,16.0,2.0,358.0,25.57,0.0,2.0
