,Player,Mat,Inn,NO,Runs,Avg,100,50
164,KC Brathwaite (WI),59,112.0,7.0,3496.0,33.29,8.0,17.0
165,B Mitchell (SA),42,80.0,9.0,3471.0,48.88,8.0,21.0
166,GW Flower (ZIM),67,123.0,6.0,3457.0,29.54,6.0,15.0
167,BE Congdon (NZ),61,114.0,7.0,3448.0,32.22,7.0,19.0
168,JR Reid (NZ),58,108.0,5.0,3428.0,33.28,6.0,22.0
169,C Hill (AUS),49,89.0,2.0,3412.0,39.21,7.0,19.0
170,GA Hick (ENG),65,114.0,6.0,3383.0,31.32,6.0,18.0
171,GM Wood (AUS),59,112.0,6.0,3374.0,31.83,9.0,13.0
172,PJL Dujon (WI),81,115.0,11.0,3322.0,31.94,5.0,16.0
173,CL Cairns (NZ),62,104.0,5.0,3320.0,33.53,5.0,22.0
174,Ijaz Ahmed (PAK),60,92.0,4.0,3315.0,37.67,12.0,12.0
175,FE Woolley (ENG),64,98.0,7.0,3283.0,36.07,5.0,23.0
176,KWR Fletcher (ENG),59,96.0,14.0,3272.0,39.9,7.0,19.0
177,BJ Haddin (AUS),66,112.0,13.0,3266.0,32.98,4.0,18.0
178,ND McKenzie (SA),58,94.0,7.0,3253.0,37.39,5.0,16.0
179,CC Hunte (WI),44,78.0,6.0,3245.0,45.06,8.0,13.0
180,VL Manjrekar (INDIA),55,92.0,10.0,3208.0,39.12,7.0,15.0
181,NS Sidhu (INDIA),51,78.0,2.0,3202.0,42.13,9.0,15.0
182,HA Gomes (WI),60,91.0,11.0,3171.0,39.63,9.0,13.0
183,VT Trumper (AUS),48,89.0,8.0,3163.0,39.04,8.0,13.0
184,SCJ Broad (ENG),135,199.0,29.0,3158.0,18.57,1.0,12.0
185,SK Warne (AUS),145,199.0,17.0,3154.0,17.32,0.0,12.0
186,Sir RJ Hadlee (NZ),86,134.0,19.0,3124.0,27.16,2.0,15.0
187,CD McMillan (NZ),55,91.0,10.0,3116.0,38.46,6.0,19.0
188,CC McDonald (AUS),47,83.0,4.0,3107.0,39.32,5.0,17.0
189,BF Butcher (WI),44,78.0,6.0,3104.0,43.11,7.0,16.0
190,WPUJC Vaas (SL),111,162.0,35.0,3089.0,24.32,1.0,13.0
191,AL Hassett (AUS),43,69.0,3.0,3073.0,46.56,10.0,11.0
192,CG Borde (INDIA),55,97.0,11.0,3061.0,35.59,5.0,18.0
193,Habibul Bashar (BDESH),50,99.0,1.0,3026.0,30.87,3.0,24.0
194,JC Adams (WI),54,90.0,17.0,3012.0,41.26,6.0,14.0
195,Saeed Ahmed (PAK),41,78.0,4.0,2991.0,40.41,5.0,16.0
196,GM Turner (NZ),41,73.0,6.0,2991.0,44.64,7.0,14.0
197,Taufeeq Umar (PAK),44,83.0,5.0,2963.0,37.98,7.0,14.0
198,AD Nourse (SA),34,62.0,7.0,2960.0,53.81,9.0,14.0
199,KR Miller (AUS),55,87.0,7.0,2958.0,36.97,7.0,13.0
200,HW Taylor (SA),42,76.0,4.0,2936.0,40.77,7.0,17.0
201,AH Jones (NZ),39,74.0,8.0,2922.0,44.27,7.0,11.0
202,D Ramdin (WI),74,126.0,14.0,2898.0,25.87,4.0,15.0
203,Wasim Akram (PAK),104,147.0,19.0,2898.0,22.64,3.0,7.0
204,UT Khawaja (AUS),44,77.0,6.0,2887.0,40.66,8.0,14.0
205,SL Campbell (WI),52,93.0,4.0,2882.0,32.38,4.0,18.0
206,AC Parore (NZ),78,128.0,19.0,2865.0,26.28,2.0,14.0
207,WW Armstrong (AUS),50,84.0,10.0,2863.0,38.68,6.0,8.0
208,ADR Campbell (ZIM),60,109.0,4.0,2858.0,27.21,2.0,18.0
209,GR Marsh (AUS),50,93.0,7.0,2854.0,33.18,4.0,15.0
210,Rameez Raja (PAK),57,94.0,5.0,2833.0,31.83,2.0,22.0
211,Aamer Sohail (PAK),47,83.0,3.0,2823.0,35.28,5.0,13.0
212,Wasim Raja (PAK),57,92.0,14.0,2821.0,36.16,4.0,18.0
213,KR Stackpole (AUS),43,80.0,5.0,2807.0,37.42,7.0,14.0
214,MAK Pataudi (INDIA),46,83.0,3.0,2793.0,34.91,6.0,16.0
215,KC Wessels (AUS/SA),40,71.0,3.0,2788.0,41.0,6.0,15.0
216,MM Ali (ENG),60,104.0,8.0,2782.0,28.97,5.0,14.0
217,NCL O'Neill (AUS),42,69.0,8.0,2779.0,45.55,6.0,15.0
218,BKG Mendis (SL),42,82.0,3.0,2777.0,35.15,6.0,10.0
219,MH Richardson (NZ),38,65.0,3.0,2776.0,44.77,4.0,19.0
220,M Leyland (ENG),41,65.0,5.0,2764.0,46.06,9.0,10.0
